singular;plural;gender;english singular;english plural;level;lesson;tags
Husten;;der;cough;;;;
Schmerz;Schmerzen;der;pain;pains;;;
Arm;Arme;der;arm;arms;;;
Bauch;Bäuche;der;belly;bellies;;;
Finger;Finger;der;finger;finger;;;
Fuß;Fuße;der;foot;feet;;;
Hals;Hälse;der;neck;necks;;;
Kopf;Köpfe;der;head;heads;;;
Mund;Münde;der;mouth;mouths;;;
Rücken;Rücken;der;back;backs;;;
Zahn;Zähne;der;tooth;teeth;;;
Fieber;;das;fever;;;;
Pflaster;Pflaster;das;bandaid;bandaids;;;
Auge;Augen;das;eye;eyes;;;
Bein;Beines;das;leg;legs;;;
Knie;Knie;das;knee;knee;;;
Ohr;Ohren;das;ear;ears;;;
;;;;;;;
;;;;;;;
